app_id,name,playtime_hours,last_played,achievements_total,achievements_unlocked,achievements_pct,avg_global_unlock_pct,rarity_floor,has_multiplayer_achievement,hltb_main_hours,hltb_completionist_hours,completionist_ratio,hltb_found
220,Half-Life 2,2.15,1408894638,69,4,0.057971014492753624,15.520289855072468,1.2,False,12.89,19.88,1.542280837858805,True
320,Half-Life 2: Deathmatch,0.0,0,0,0,0.0,0.0,0.0,False,2.42,21.55,8.90495867768595,True
360,Half-Life Deathmatch: Source,0.0,0,0,0,0.0,0.0,0.0,False,2.5,3.33,1.332,True
400,Portal,2.5833333333333335,1408735024,15,7,0.4666666666666667,25.306666666666672,2.8,False,3.12,10.47,3.355769230769231,True
440,Team Fortress 2,0.8166666666666667,1371919525,520,2,0.0038461538461538464,11.153076923076924,3.2,True,285.25,2346.99,8.22783523225241,True
550,Left 4 Dead 2,7.65,1463745438,101,3,0.0297029702970297,11.598019801980204,0.7,True,10.21,61.36,6.009794319294809,True
620,Portal 2,6.883333333333334,1596205891,51,9,0.17647058823529413,24.205882352941178,2.4,True,8.54,22.53,2.6381733021077287,True
730,Counter-Strike 2,4.916666666666667,1570566090,1,0,0.0,39.4,39.4,False,145.47,742.55,5.104488898054582,True
1200,Red Orchestra: Ostfront 41-45,0.03333333333333333,1378915590,44,0,0.0,2.777272727272727,1.0,False,0.0,44.0,1.0,True
1230,Mare Nostrum,0.08333333333333333,1378916088,26,0,0.0,0.8192307692307697,0.8,False,0.0,0.0,1.0,True
1250,Killing Floor,1.0333333333333334,1378837776,285,3,0.010526315789473684,7.753684210526316,1.8,True,17.76,296.28,16.682432432432428,True
1280,Darkest Hour: Europe '44-'45,0.016666666666666666,1379225212,0,0,0.0,0.0,0.0,False,4.0,0.0,0.0,True
1900,Earth 2160,0.0,0,0,0,0.0,0.0,0.0,False,22.71,31.02,1.3659180977542933,True
2400,The Ship,8.25,1496420112,0,0,0.0,0.0,0.0,False,2.61,4.07,1.559386973180077,True
2420,The Ship Single Player,5.5,1449936733,0,0,0.0,0.0,0.0,False,2.2,0.0,0.0,True
2430,The Ship Tutorial,0.0,0,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
2600,Vampire: The Masquerade - Bloodlines,1.2166666666666666,1553346185,0,0,0.0,0.0,0.0,False,22.64,38.87,1.7168727915194344,True
2700,RollerCoaster Tycoon 3: Platinum!,25.316666666666666,1489246634,0,0,0.0,0.0,0.0,False,20.12,42.01,2.0879721669980116,True
3260,Safecracker: The Ultimate Puzzle Adventure,2.8666666666666667,1407428621,0,0,0.0,0.0,0.0,False,3.47,5.74,1.654178674351585,True
3330,Zuma Deluxe,0.21666666666666667,1713818242,0,0,0.0,0.0,0.0,False,5.3,12.72,2.4000000000000004,True
3590,Plants vs. Zombies: Game of the Year,2.933333333333333,1425221364,21,4,0.19047619047619047,27.928571428571423,8.4,False,8.2,42.7,5.207317073170732,True
3830,Psychonauts,14.133333333333333,1409338755,37,16,0.43243243243243246,14.535135135135134,3.8,False,12.01,21.61,1.7993338884263115,True
3910,Sid Meier's Civilization III: Complete,0.0,0,0,0,0.0,0.0,0.0,False,22.2,123.31,5.5545045045045045,True
4000,Garry's Mod,5.75,1464440635,29,3,0.10344827586206896,17.472413793103446,2.3,True,51.41,553.98,10.775724567204826,True
7520,Two Worlds II HD,0.0,0,66,0,0.0,3.356060606060608,0.4,True,0.0,0.0,1.0,True
7610,Railroad Tycoon 3,0.0,0,0,0,0.0,0.0,0.0,False,26.17,38.0,1.4520443255636224,True
7650,X-COM: Terror from the Deep,0.0,0,0,0,0.0,0.0,0.0,False,34.16,92.25,2.7005269320843093,True
7660,X-COM: Apocalypse,0.0,0,0,0,0.0,0.0,0.0,False,32.55,63.82,1.9606758832565285,True
7670,BioShock,0.9833333333333333,1476209479,0,0,0.0,0.0,0.0,False,12.11,23.23,1.9182493806771264,True
